Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,2.960000,3.100000,2.880000,2.960000,2.960000,69600
2016-06-15,2.950000,3.050000,2.890000,2.900000,2.900000,97900
2016-06-16,2.870000,2.880000,2.770000,2.850000,2.850000,79100
2016-06-17,2.880000,2.950000,2.830000,2.890000,2.890000,73100
2016-06-20,2.920000,2.940000,2.780000,2.800000,2.800000,64000
2016-06-21,2.780000,2.860000,2.580000,2.760000,2.760000,69100
2016-06-22,2.740000,2.780000,2.500000,2.680000,2.680000,40800
2016-06-23,2.760000,2.760000,2.600000,2.710000,2.710000,70500
2016-06-24,2.570000,2.670000,2.460000,2.560000,2.560000,908200
2016-06-27,2.470000,2.650000,2.340000,2.440000,2.440000,62300
2016-06-28,2.440000,2.600000,2.360000,2.430000,2.430000,46800
2016-06-29,2.430000,2.440000,2.330000,2.370000,2.370000,51900
2016-06-30,2.390000,2.420000,2.320000,2.360000,2.360000,66500
2016-07-01,2.360000,2.450000,2.360000,2.430000,2.430000,49500
2016-07-05,2.430000,2.450000,2.310000,2.420000,2.420000,40400
2016-07-06,2.420000,2.440000,2.320000,2.340000,2.340000,23900
2016-07-07,2.340000,2.440000,2.320000,2.320000,2.320000,19900
2016-07-08,2.350000,2.400000,2.350000,2.370000,2.370000,33500
2016-07-11,2.390000,2.450000,2.360000,2.370000,2.370000,52400
2016-07-12,2.370000,2.490000,2.370000,2.440000,2.440000,78100
2016-07-13,2.450000,2.500000,2.350000,2.430000,2.430000,58200
2016-07-14,2.440000,2.440000,2.310000,2.370000,2.370000,116400
2016-07-15,2.330000,2.450000,2.330000,2.420000,2.420000,52900
2016-07-18,2.450000,2.480000,2.360000,2.410000,2.410000,50000
2016-07-19,2.380000,2.560000,2.380000,2.410000,2.410000,184500
2016-07-20,2.440000,2.510000,2.410000,2.480000,2.480000,47900
2016-07-21,2.510000,2.610000,2.450000,2.480000,2.480000,42100
2016-07-22,2.470000,2.560000,2.460000,2.500000,2.500000,68000
2016-07-25,2.520000,2.750000,2.470000,2.550000,2.550000,54500
2016-07-26,2.550000,2.600000,2.530000,2.540000,2.540000,49100
2016-07-27,2.550000,2.640000,2.420000,2.510000,2.510000,42700
2016-07-28,2.510000,2.610000,2.500000,2.560000,2.560000,18600
2016-07-29,2.590000,2.710000,2.540000,2.690000,2.690000,54000
2016-08-01,2.740000,2.860000,2.700000,2.820000,2.820000,81800
2016-08-02,2.870000,3.000000,2.800000,2.980000,2.980000,160700
2016-08-03,3.000000,3.360000,2.980000,3.270000,3.270000,282600
2016-08-04,3.380000,3.810000,3.380000,3.630000,3.630000,574700
2016-08-05,3.630000,3.640000,3.430000,3.470000,3.470000,178500
2016-08-08,3.450000,3.770000,3.450000,3.670000,3.670000,129800
2016-08-09,3.750000,3.920000,3.500000,3.820000,3.820000,94600
2016-08-10,3.850000,3.900000,3.720000,3.760000,3.760000,56000
2016-08-11,3.810000,3.810000,3.580000,3.610000,3.610000,54900
2016-08-12,3.550000,3.630000,3.520000,3.580000,3.580000,41200
2016-08-15,3.620000,3.950000,3.590000,3.910000,3.910000,72200
2016-08-16,3.940000,4.090000,3.800000,3.930000,3.930000,58100
2016-08-17,3.980000,4.250000,3.980000,4.080000,4.080000,80400
2016-08-18,4.090000,4.390000,4.050000,4.370000,4.370000,84100
2016-08-19,4.400000,4.400000,4.100000,4.140000,4.140000,119800
2016-08-22,4.140000,4.200000,4.050000,4.160000,4.160000,66100
2016-08-23,4.100000,4.340000,4.100000,4.280000,4.280000,40600
2016-08-24,4.290000,4.360000,4.210000,4.340000,4.340000,76500
2016-08-25,4.330000,4.340000,4.160000,4.280000,4.280000,66300
2016-08-26,4.330000,4.370000,4.160000,4.310000,4.310000,39700
2016-08-29,4.240000,4.260000,4.160000,4.200000,4.200000,86000
2016-08-30,4.070000,4.200000,3.900000,4.100000,4.100000,197400
2016-08-31,4.040000,4.130000,3.950000,4.060000,4.060000,124500
2016-09-01,4.300000,4.330000,4.100000,4.290000,4.290000,108300
2016-09-02,4.330000,4.500000,4.210000,4.470000,4.470000,77400
2016-09-06,4.500000,4.780000,4.450000,4.690000,4.690000,232700
2016-09-07,4.730000,4.850000,4.540000,4.790000,4.790000,137700
2016-09-08,5.120000,5.200000,4.910000,5.140000,5.140000,394800
2016-09-09,5.120000,5.170000,4.770000,4.860000,4.860000,271300
2016-09-12,4.800000,5.090000,4.800000,5.030000,5.030000,175700
2016-09-13,5.040000,5.050000,4.840000,4.920000,4.920000,114900
2016-09-14,4.930000,5.030000,4.860000,4.990000,4.990000,127800
2016-09-15,5.000000,5.140000,4.920000,4.970000,4.970000,238000
2016-09-16,4.970000,5.030000,4.840000,4.860000,4.860000,295100
2016-09-19,4.860000,5.140000,4.840000,5.110000,5.110000,245200
2016-09-20,5.140000,5.850000,5.110000,5.780000,5.780000,624600
2016-09-21,6.010000,6.740000,5.690000,6.570000,6.570000,1361700
2016-09-22,6.680000,6.800000,6.050000,6.390000,6.390000,817400
2016-09-23,6.380000,6.420000,6.150000,6.290000,6.290000,250400
2016-09-26,6.300000,6.370000,6.040000,6.110000,6.110000,255100
2016-09-27,6.180000,6.180000,5.460000,5.610000,5.610000,577900
2016-09-28,5.650000,5.830000,5.610000,5.740000,5.740000,347100
2016-09-29,6.150000,6.150000,5.900000,5.910000,5.910000,301800
2016-09-30,5.970000,6.000000,5.820000,6.000000,6.000000,165200
2016-10-03,6.000000,6.300000,6.000000,6.150000,6.150000,136200
2016-10-04,6.200000,6.210000,5.930000,6.010000,6.010000,192900
2016-10-05,5.900000,7.000000,5.900000,6.690000,6.690000,691300
2016-10-06,6.680000,6.720000,6.300000,6.560000,6.560000,388800
2016-10-07,6.530000,7.190000,6.410000,6.790000,6.790000,708200
2016-10-10,6.910000,7.140000,6.740000,6.860000,6.860000,482700
2016-10-11,6.810000,6.870000,6.480000,6.590000,6.590000,176900
2016-10-12,6.560000,6.750000,6.460000,6.540000,6.540000,169400
2016-10-13,6.500000,6.750000,6.250000,6.710000,6.710000,158600
2016-10-14,6.780000,7.120000,6.710000,6.740000,6.740000,423100
2016-10-17,6.700000,6.810000,6.400000,6.800000,6.800000,341500
2016-10-18,6.860000,8.100000,6.750000,7.950000,7.950000,2650200
2016-10-19,7.880000,8.000000,7.500000,7.760000,7.760000,771600
2016-10-20,7.770000,9.440000,7.760000,8.700000,8.700000,3549100
2016-10-21,8.770000,8.860000,8.000000,8.340000,8.340000,825500
2016-10-24,8.300000,8.800000,8.050000,8.200000,8.200000,300600
2016-10-25,8.550000,8.650000,7.900000,8.000000,8.000000,666900
2016-10-26,7.900000,7.900000,7.200000,7.450000,7.450000,431700
2016-10-27,7.400000,7.450000,7.130000,7.250000,7.250000,1357800
2016-10-28,7.300000,7.300000,6.950000,7.050000,7.050000,372100
2016-10-31,7.000000,7.050000,6.500000,6.550000,6.550000,765000
2016-11-01,6.550000,6.700000,6.200000,6.500000,6.500000,631000
2016-11-02,6.450000,6.530000,6.150000,6.350000,6.350000,604000
2016-11-03,6.350000,6.400000,5.550000,5.700000,5.700000,715000
2016-11-04,5.700000,5.800000,5.550000,5.550000,5.550000,527800
2016-11-07,5.700000,5.930000,5.450000,5.550000,5.550000,391100
2016-11-08,5.500000,5.900000,5.250000,5.300000,5.300000,348100
2016-11-09,5.350000,6.250000,5.350000,6.100000,6.100000,692900
2016-11-10,6.150000,6.150000,5.850000,6.000000,6.000000,410300
2016-11-11,6.100000,6.950000,5.950000,6.450000,6.450000,896400
2016-11-14,6.550000,7.400000,6.500000,7.400000,7.400000,999900
2016-11-15,7.500000,7.650000,6.700000,7.200000,7.200000,667300
2016-11-16,7.050000,7.300000,6.900000,7.000000,7.000000,352700
2016-11-17,7.000000,7.300000,6.900000,7.250000,7.250000,330300
2016-11-18,7.300000,7.350000,7.050000,7.250000,7.250000,267500
2016-11-21,7.300000,7.400000,7.150000,7.250000,7.250000,178200
2016-11-22,7.200000,7.240000,6.900000,6.950000,6.950000,239900
2016-11-23,6.950000,7.200000,6.600000,7.000000,7.000000,338500
2016-11-25,7.100000,7.200000,6.950000,7.050000,7.050000,76600
2016-11-28,7.150000,7.180000,6.850000,6.900000,6.900000,191500
2016-11-29,6.900000,6.900000,6.400000,6.550000,6.550000,328800
2016-11-30,6.600000,6.780000,5.950000,6.250000,6.250000,408600
2016-12-01,6.200000,6.400000,6.100000,6.200000,6.200000,292000
2016-12-02,6.250000,6.400000,6.100000,6.200000,6.200000,268900
2016-12-05,6.150000,6.250000,5.750000,5.900000,5.900000,324300
2016-12-06,5.950000,6.400000,5.550000,5.900000,5.900000,380700
2016-12-07,5.850000,6.100000,5.650000,5.950000,5.950000,209700
2016-12-08,5.850000,5.950000,5.700000,5.800000,5.800000,252400
2016-12-09,5.850000,5.950000,5.100000,5.150000,5.150000,573600
2016-12-12,5.050000,5.050000,4.250000,4.450000,4.450000,2232700
2016-12-13,4.250000,4.900000,4.220000,4.900000,4.900000,848100
2016-12-14,4.850000,5.150000,4.650000,4.850000,4.850000,478800
2016-12-15,4.900000,4.980000,4.600000,4.700000,4.700000,296400
2016-12-16,4.750000,4.950000,4.450000,4.500000,4.500000,277300
2016-12-19,4.450000,4.750000,4.450000,4.650000,4.650000,271800
2016-12-20,4.550000,4.600000,4.300000,4.450000,4.450000,312300
2016-12-21,4.400000,4.430000,4.050000,4.250000,4.250000,375500
2016-12-22,4.300000,4.950000,4.250000,4.650000,4.650000,424700
2016-12-23,4.650000,4.800000,4.500000,4.800000,4.800000,171100
2016-12-27,4.750000,5.350000,4.750000,5.200000,5.200000,328500
2016-12-28,5.300000,5.440000,4.900000,5.100000,5.100000,244500
2016-12-29,5.050000,5.150000,4.800000,4.900000,4.900000,216600
2016-12-30,4.850000,4.950000,4.750000,4.850000,4.850000,152900
2017-01-03,5.100000,5.200000,4.800000,5.000000,5.000000,184100
2017-01-04,4.950000,5.350000,4.950000,5.350000,5.350000,186600
2017-01-05,5.350000,5.600000,5.150000,5.600000,5.600000,242700
2017-01-06,5.900000,6.350000,5.700000,6.100000,6.100000,646000
2017-01-09,6.100000,6.300000,5.460000,6.050000,6.050000,594200
2017-01-10,6.150000,6.150000,5.650000,5.800000,5.800000,339400
2017-01-11,5.750000,5.790000,5.160000,5.350000,5.350000,431800
2017-01-12,5.350000,5.400000,5.050000,5.350000,5.350000,228600
2017-01-13,5.350000,5.500000,5.200000,5.300000,5.300000,227800
2017-01-17,5.250000,5.400000,5.150000,5.200000,5.200000,247300
2017-01-18,5.150000,5.250000,5.050000,5.100000,5.100000,194200
2017-01-19,5.350000,5.440000,4.950000,5.000000,5.000000,343800
2017-01-20,5.000000,5.050000,4.850000,5.000000,5.000000,148600
2017-01-23,4.950000,5.050000,4.650000,4.900000,4.900000,185500
2017-01-24,4.900000,4.950000,4.650000,4.800000,4.800000,132900
2017-01-25,4.800000,5.000000,4.650000,4.850000,4.850000,96400
2017-01-26,4.850000,4.950000,4.800000,4.900000,4.900000,69300
2017-01-27,4.950000,4.950000,4.650000,4.800000,4.800000,79700
2017-01-30,4.800000,4.800000,4.500000,4.600000,4.600000,201900
2017-01-31,4.600000,4.700000,4.530000,4.600000,4.600000,132800
2017-02-01,4.600000,4.750000,4.500000,4.650000,4.650000,172700
2017-02-02,4.700000,5.030000,4.700000,4.900000,4.900000,274300
2017-02-03,4.950000,5.100000,4.750000,4.850000,4.850000,170700
2017-02-06,4.900000,5.160000,4.890000,5.000000,5.000000,152500
2017-02-07,4.950000,5.400000,4.950000,5.350000,5.350000,276700
2017-02-08,5.350000,5.450000,5.000000,5.100000,5.100000,403700
2017-02-09,5.150000,5.300000,5.050000,5.050000,5.050000,160100
2017-02-10,5.150000,5.250000,5.000000,5.100000,5.100000,192100
2017-02-13,5.200000,5.300000,5.150000,5.200000,5.200000,202400
2017-02-14,5.250000,5.680000,5.200000,5.500000,5.500000,716900
2017-02-15,5.600000,6.400000,5.550000,5.900000,5.900000,874800
2017-02-16,6.000000,6.250000,5.750000,6.150000,6.150000,489000
2017-02-17,6.250000,6.250000,5.480000,6.000000,6.000000,611000
2017-02-21,6.000000,6.100000,5.200000,5.250000,5.250000,517100
2017-02-22,5.300000,5.350000,5.000000,5.100000,5.100000,371600
2017-02-23,5.100000,5.100000,4.850000,5.000000,5.000000,199900
2017-02-24,5.000000,5.250000,4.900000,5.250000,5.250000,289000
2017-02-27,5.450000,5.550000,5.200000,5.550000,5.550000,273800
2017-02-28,5.500000,5.600000,5.250000,5.400000,5.400000,165700
2017-03-01,5.450000,5.700000,5.350000,5.450000,5.450000,190100
2017-03-02,5.450000,5.550000,4.950000,5.050000,5.050000,252700
2017-03-03,5.050000,5.300000,4.850000,5.000000,5.000000,294700
2017-03-06,5.050000,5.050000,4.850000,4.950000,4.950000,119600
2017-03-07,4.950000,5.300000,4.900000,5.050000,5.050000,211400
2017-03-08,5.300000,5.300000,4.900000,5.000000,5.000000,236000
2017-03-09,5.000000,5.290000,4.900000,5.250000,5.250000,210100
2017-03-10,5.200000,5.200000,5.000000,5.100000,5.100000,171200
2017-03-13,5.100000,5.600000,5.050000,5.550000,5.550000,248400
2017-03-14,5.650000,5.750000,5.150000,5.250000,5.250000,218900
2017-03-15,5.200000,5.500000,5.050000,5.200000,5.200000,178300
2017-03-16,5.150000,5.250000,5.050000,5.100000,5.100000,163500
2017-03-17,5.100000,5.200000,5.050000,5.050000,5.050000,150400
2017-03-20,5.050000,5.150000,5.000000,5.050000,5.050000,190000
2017-03-21,5.000000,5.150000,4.790000,4.850000,4.850000,351700
2017-03-22,4.800000,4.900000,4.550000,4.750000,4.750000,324900
2017-03-23,4.600000,4.950000,4.580000,4.700000,4.700000,234400
2017-03-24,4.750000,4.950000,4.650000,4.800000,4.800000,181100
2017-03-27,4.800000,4.960000,4.700000,4.850000,4.850000,270200
2017-03-28,4.800000,4.900000,4.740000,4.850000,4.850000,149200
2017-03-29,4.900000,5.050000,4.880000,5.050000,5.050000,176900
2017-03-30,5.050000,5.100000,4.900000,5.000000,5.000000,258700
2017-03-31,4.850000,5.100000,4.700000,5.000000,5.000000,316200
2017-04-03,4.950000,5.250000,4.900000,5.100000,5.100000,396500
2017-04-04,5.050000,5.200000,5.050000,5.100000,5.100000,151200
2017-04-05,5.100000,5.200000,5.000000,5.150000,5.150000,218800
2017-04-06,5.200000,5.200000,5.030000,5.150000,5.150000,253800
2017-04-07,5.100000,5.150000,4.900000,5.050000,5.050000,391300
2017-04-10,5.150000,5.150000,4.900000,5.000000,5.000000,215300
2017-04-11,5.000000,5.050000,4.800000,4.850000,4.850000,155100
2017-04-12,4.850000,5.000000,4.750000,4.900000,4.900000,137600
2017-04-13,4.900000,5.050000,4.800000,4.850000,4.850000,128300
2017-04-17,4.950000,4.950000,4.800000,4.950000,4.950000,134400
2017-04-18,4.850000,4.900000,4.750000,4.850000,4.850000,141600
2017-04-19,4.850000,5.200000,4.800000,5.050000,5.050000,288800
2017-04-20,5.050000,5.250000,5.050000,5.200000,5.200000,242600
2017-04-21,5.250000,5.250000,5.100000,5.200000,5.200000,124600
2017-04-24,5.250000,5.250000,5.100000,5.250000,5.250000,160400
2017-04-25,5.250000,5.600000,5.240000,5.450000,5.450000,290800
2017-04-26,5.400000,5.800000,5.400000,5.800000,5.800000,274900
2017-04-27,5.850000,5.950000,5.500000,5.600000,5.600000,139300
2017-04-28,5.600000,5.730000,5.400000,5.650000,5.650000,212800
2017-05-01,5.700000,5.700000,5.450000,5.650000,5.650000,128800
2017-05-02,5.700000,6.030000,5.650000,5.750000,5.750000,210800
2017-05-03,5.750000,5.800000,5.300000,5.350000,5.350000,177200
2017-05-04,5.300000,5.650000,5.300000,5.650000,5.650000,116600
2017-05-05,5.600000,5.650000,5.480000,5.550000,5.550000,173100
2017-05-08,5.550000,5.700000,5.550000,5.650000,5.650000,151900
2017-05-09,5.650000,5.900000,5.650000,5.800000,5.800000,132900
2017-05-10,5.800000,5.950000,5.600000,5.900000,5.900000,122100
2017-05-11,5.850000,6.350000,5.750000,6.100000,6.100000,819900
2017-05-12,6.400000,6.540000,6.000000,6.250000,6.250000,860000
2017-05-15,6.300000,6.400000,6.050000,6.200000,6.200000,339500
2017-05-16,6.250000,6.350000,6.100000,6.150000,6.150000,291900
2017-05-17,6.150000,6.150000,5.750000,5.950000,5.950000,397000
2017-05-18,6.050000,6.450000,5.900000,6.000000,6.000000,443000
2017-05-19,5.950000,6.200000,5.750000,6.150000,6.150000,209200
2017-05-22,6.100000,6.100000,5.850000,5.950000,5.950000,120200
2017-05-23,5.900000,6.060000,5.850000,5.900000,5.900000,67200
2017-05-24,5.900000,5.950000,5.850000,5.900000,5.900000,67700
2017-05-25,6.050000,6.130000,5.700000,5.700000,5.700000,125700
2017-05-26,5.750000,5.750000,5.450000,5.550000,5.550000,142600
2017-05-30,5.700000,5.750000,5.280000,5.600000,5.600000,276100
2017-05-31,5.600000,5.650000,5.180000,5.350000,5.350000,245000
2017-06-01,5.250000,5.650000,5.150000,5.500000,5.500000,241100
2017-06-02,5.500000,5.610000,5.200000,5.350000,5.350000,171700
2017-06-05,5.400000,5.450000,5.200000,5.250000,5.250000,151700
2017-06-06,5.300000,5.350000,4.900000,5.050000,5.050000,321000
2017-06-07,5.050000,5.150000,4.950000,5.000000,5.000000,112500
2017-06-08,4.950000,5.060000,4.900000,5.000000,5.000000,152100
2017-06-09,5.060000,5.300000,5.000000,5.050000,5.050000,114000
2017-06-12,5.100000,5.150000,4.700000,4.700000,4.700000,346100
2017-06-13,4.800000,5.000000,4.700000,5.000000,5.000000,193600
2017-06-14,5.050000,5.050000,4.900000,4.950000,4.950000,94100
2017-06-15,4.950000,5.050000,4.700000,4.750000,4.750000,146800
2017-06-16,4.700000,4.850000,4.550000,4.700000,4.700000,191100
2017-06-19,4.700000,4.950000,4.700000,4.800000,4.800000,138500
2017-06-20,4.750000,4.950000,4.750000,4.900000,4.900000,127500
2017-06-21,4.900000,5.150000,4.850000,5.000000,5.000000,259700
2017-06-22,5.300000,6.050000,5.250000,5.600000,5.600000,1270300
2017-06-23,5.650000,6.050000,5.350000,6.000000,6.000000,2846400
2017-06-26,5.950000,6.050000,5.700000,5.950000,5.950000,495300
2017-06-27,6.000000,6.400000,5.800000,6.200000,6.200000,401100
2017-06-28,6.250000,6.350000,5.850000,6.200000,6.200000,364800
2017-06-29,6.250000,6.450000,6.000000,6.250000,6.250000,439800
2017-06-30,6.250000,6.450000,6.120000,6.400000,6.400000,221700
2017-07-03,6.350000,6.750000,6.250000,6.600000,6.600000,257600
2017-07-05,6.650000,7.350000,6.510000,7.300000,7.300000,702200
2017-07-06,7.400000,8.050000,6.950000,7.900000,7.900000,956500
2017-07-07,8.000000,8.350000,7.780000,8.350000,8.350000,754500
2017-07-10,8.800000,9.850000,8.500000,9.200000,9.200000,2985900
2017-07-11,9.100000,9.250000,8.650000,9.200000,9.200000,1055300
2017-07-12,8.950000,9.200000,8.850000,9.000000,9.000000,591700
2017-07-13,8.900000,9.050000,8.750000,8.800000,8.800000,355000
2017-07-14,8.800000,9.600000,8.700000,9.300000,9.300000,556400
2017-07-17,9.350000,9.350000,8.750000,8.900000,8.900000,343300
2017-07-18,9.000000,9.280000,8.700000,8.950000,8.950000,484900
2017-07-19,9.050000,10.250000,8.800000,9.850000,9.850000,1233000
2017-07-20,10.000000,10.260000,9.510000,9.750000,9.750000,688800
2017-07-21,9.800000,10.100000,9.550000,9.800000,9.800000,541400
2017-07-24,9.750000,9.890000,9.200000,9.400000,9.400000,678500
2017-07-25,9.350000,9.400000,8.440000,9.100000,9.100000,900700
2017-07-26,9.050000,9.050000,8.500000,8.700000,8.700000,389700
2017-07-27,8.600000,8.750000,8.150000,8.400000,8.400000,591400
2017-07-28,8.300000,9.000000,8.210000,8.750000,8.750000,593600
2017-07-31,8.800000,9.000000,8.350000,8.450000,8.450000,503400
2017-08-01,8.400000,8.630000,7.750000,8.050000,8.050000,855500
2017-08-02,8.000000,8.200000,7.400000,7.650000,7.650000,416500
2017-08-03,7.650000,7.750000,7.200000,7.300000,7.300000,315000
2017-08-04,7.400000,8.200000,7.350000,8.050000,8.050000,481900
2017-08-07,8.000000,8.750000,8.000000,8.250000,8.250000,373700
2017-08-08,8.250000,8.340000,7.600000,7.700000,7.700000,444600
2017-08-09,7.600000,7.900000,7.600000,7.700000,7.700000,256900
2017-08-10,7.800000,8.000000,7.450000,7.650000,7.650000,261700
2017-08-11,7.700000,7.800000,7.450000,7.550000,7.550000,215800
2017-08-14,7.600000,7.650000,7.250000,7.400000,7.400000,350000
2017-08-15,7.200000,8.450000,7.010000,8.100000,8.100000,833100
2017-08-16,8.150000,8.840000,7.960000,8.500000,8.500000,683300
2017-08-17,8.400000,9.010000,8.050000,8.150000,8.150000,610800
2017-08-18,8.050000,8.600000,7.450000,7.800000,7.800000,752800
2017-08-21,7.850000,8.150000,7.500000,7.850000,7.850000,503400
2017-08-22,7.940000,8.200000,7.780000,7.850000,7.850000,452700
2017-08-23,8.000000,8.950000,7.980000,8.750000,8.750000,797600
2017-08-24,8.850000,9.700000,8.850000,9.600000,9.600000,854700
2017-08-25,9.650000,10.000000,8.800000,9.050000,9.050000,968200
2017-08-28,9.050000,9.880000,9.000000,9.500000,9.500000,687500
2017-08-29,10.050000,11.600000,9.600000,11.250000,11.250000,2787400
2017-08-30,11.450000,14.200000,10.720000,13.650000,13.650000,3480300
2017-08-31,13.500000,14.250000,12.250000,13.150000,13.150000,3057800
2017-09-01,13.050000,13.990000,12.910000,13.800000,13.800000,1487700
2017-09-05,13.850000,15.250000,13.300000,14.200000,14.200000,2207700
2017-09-06,14.150000,14.500000,13.040000,13.400000,13.400000,1349500
2017-09-07,13.400000,13.990000,13.100000,13.850000,13.850000,787200
2017-09-08,13.950000,14.200000,13.400000,13.850000,13.850000,606600
2017-09-11,13.900000,14.600000,13.750000,14.000000,14.000000,810600
2017-09-12,14.200000,14.230000,13.660000,13.800000,13.800000,528100
2017-09-13,13.650000,14.300000,13.600000,14.000000,14.000000,923800
2017-09-14,13.950000,14.230000,13.750000,14.000000,14.000000,656700
2017-09-15,14.500000,17.250000,14.500000,17.200001,17.200001,4325100
2017-09-18,17.049999,17.900000,16.150000,16.500000,16.500000,2142900
2017-09-19,16.650000,17.049999,16.110001,16.750000,16.750000,1107900
2017-09-20,16.950001,16.950001,16.180000,16.500000,16.500000,597100
2017-09-21,16.500000,17.049999,16.150000,16.200001,16.200001,922400
2017-09-22,15.900000,15.900000,14.600000,14.950000,14.950000,1446600
2017-09-25,14.800000,15.400000,13.700000,14.700000,14.700000,1138800
2017-09-26,14.750000,15.100000,13.900000,14.150000,14.150000,758900
2017-09-27,14.350000,15.600000,14.250000,15.150000,15.150000,845800
2017-09-28,15.400000,17.400000,15.400000,16.950001,16.950001,1633900
2017-09-29,17.100000,18.900000,16.250000,17.049999,17.049999,2133000
2017-10-02,16.750000,17.889999,16.600000,17.750000,17.750000,631500
2017-10-03,18.450001,18.450001,16.950001,17.600000,17.600000,686200
2017-10-04,17.500000,17.790001,17.150000,17.400000,17.400000,541800
2017-10-05,18.549999,18.850000,17.500000,18.500000,18.500000,1174500
2017-10-06,18.650000,18.700001,17.400000,17.700001,17.700001,968900
2017-10-09,17.850000,18.100000,17.200001,17.500000,17.500000,692000
2017-10-10,18.000000,20.350000,17.549999,19.950001,19.950001,2444300
2017-10-11,20.450001,22.750000,18.200001,19.350000,19.350000,3214900
2017-10-12,19.400000,19.850000,17.450001,17.549999,17.549999,1808600
2017-10-13,17.650000,17.889999,15.750000,16.100000,16.100000,1982200
2017-10-16,17.100000,17.299999,16.000000,16.700001,16.700001,1248800
2017-10-17,17.400000,18.350000,16.549999,17.900000,17.900000,3909600
2017-10-18,17.750000,18.000000,16.700001,17.500000,17.500000,1856200
2017-10-19,17.350000,17.900000,17.200001,17.750000,17.750000,1049800
2017-10-20,17.799999,20.000000,17.799999,19.000000,19.000000,1866100
2017-10-23,19.100000,20.400000,18.370001,18.600000,18.600000,1592200
2017-10-24,18.450001,18.990000,17.850000,17.850000,17.850000,998500
2017-10-25,17.799999,18.600000,17.549999,18.000000,18.000000,696200
2017-10-26,17.750000,18.299999,17.049999,17.400000,17.400000,1453800
2017-10-27,17.299999,17.549999,17.000000,17.299999,17.299999,941800
2017-10-30,17.400000,17.559999,17.049999,17.450001,17.450001,650900
2017-10-31,17.549999,18.049999,17.299999,17.950001,17.950001,542600
2017-11-01,18.100000,18.100000,16.150000,16.400000,16.400000,1337600
2017-11-02,16.299999,16.980000,16.150000,16.750000,16.750000,410400
2017-11-03,16.650000,16.930000,16.350000,16.500000,16.500000,577900
2017-11-06,16.600000,16.950001,16.200001,16.299999,16.299999,754400
2017-11-07,16.350000,16.600000,14.250000,14.330000,14.330000,1655700
2017-11-08,14.850000,15.850000,14.630000,15.100000,15.100000,1100100
2017-11-09,14.900000,15.230000,14.500000,14.800000,14.800000,857400
2017-11-10,14.850000,15.400000,14.700000,15.250000,15.250000,631700
2017-11-13,15.300000,15.300000,14.550000,14.700000,14.700000,439000
2017-11-14,14.600000,15.150000,14.350000,15.100000,15.100000,538800
2017-11-15,15.200000,17.400000,14.690000,16.750000,16.750000,1407400
2017-11-16,16.799999,16.900000,15.600000,16.100000,16.100000,723200
2017-11-17,16.000000,16.000000,15.350000,15.400000,15.400000,399900
2017-11-20,15.450000,15.850000,14.400000,14.700000,14.700000,704600
2017-11-21,14.950000,16.400000,14.950000,16.150000,16.150000,935100
2017-11-22,16.100000,16.350000,15.800000,16.150000,16.150000,500300
2017-11-24,16.299999,17.250000,16.010000,16.750000,16.750000,465500
2017-11-27,16.750000,16.850000,15.900000,16.650000,16.650000,949500
2017-11-28,16.650000,17.500000,16.350000,17.350000,17.350000,747300
2017-11-29,17.450001,17.700001,16.549999,16.650000,16.650000,1068400
2017-11-30,16.750000,17.410000,16.150000,17.299999,17.299999,862100
2017-12-01,17.450001,17.549999,16.250000,16.549999,16.549999,638100
2017-12-04,16.700001,16.850000,15.250000,15.300000,15.300000,737200
2017-12-05,15.250000,15.850000,15.110000,15.250000,15.250000,467500
2017-12-06,15.550000,15.740000,14.700000,14.800000,14.800000,625100
2017-12-07,14.800000,16.400000,14.700000,15.800000,15.800000,711600
2017-12-08,15.950000,16.350000,15.550000,16.200001,16.200001,575600
2017-12-11,16.299999,16.330000,15.400000,15.550000,15.550000,681700
2017-12-12,15.500000,16.049999,15.350000,15.450000,15.450000,459900
2017-12-13,15.550000,16.200001,15.450000,16.000000,16.000000,498500
2017-12-14,16.000000,16.750000,15.750000,16.100000,16.100000,485100
2017-12-15,16.200001,17.629999,15.900000,16.500000,16.500000,4610800
2017-12-18,16.650000,17.250000,14.500000,15.200000,15.200000,1262000
2017-12-19,15.200000,15.850000,14.660000,15.330000,15.330000,606200
2017-12-20,15.450000,15.590000,14.830000,15.100000,15.100000,654900
2017-12-21,15.050000,15.200000,14.750000,14.950000,14.950000,435200
2017-12-22,15.000000,16.049999,14.750000,15.850000,15.850000,740400
2017-12-26,15.900000,16.400000,15.650000,16.200001,16.200001,550800
2017-12-27,16.049999,16.200001,15.750000,16.100000,16.100000,443600
2017-12-28,16.100000,16.250000,15.830000,16.100000,16.100000,407500
2017-12-29,16.000000,16.450001,15.800000,15.850000,15.850000,603400
2018-01-02,15.900000,17.200001,15.590000,17.200001,17.200001,641100
2018-01-03,17.250000,17.700001,16.950001,17.299999,17.299999,632400
2018-01-04,17.400000,17.500000,16.559999,16.799999,16.799999,443300
2018-01-05,16.900000,16.900000,15.500000,15.650000,15.650000,527400
2018-01-08,15.650000,15.710000,15.050000,15.250000,15.250000,453600
2018-01-09,15.350000,16.250000,15.200000,16.100000,16.100000,806500
2018-01-10,16.100000,16.250000,15.600000,16.000000,16.000000,621600
